Series id,Year,Period,Value
LNU04000000,1976,M01,8.8
LNU04000000,1976,M02,8.7
LNU04000000,1976,M03,8.1
LNU04000000,1976,M04,7.4
LNU04000000,1976,M05,6.8
LNU04000000,1976,M06,8.0
LNU04000000,1976,M07,7.8
LNU04000000,1976,M08,7.6
LNU04000000,1976,M09,7.4
LNU04000000,1976,M10,7.2
LNU04000000,1976,M11,7.4
LNU04000000,1976,M12,7.4
LNU04000000,1977,M01,8.3
LNU04000000,1977,M02,8.5
LNU04000000,1977,M03,7.9
LNU04000000,1977,M04,6.9
LNU04000000,1977,M05,6.4
LNU04000000,1977,M06,7.5
LNU04000000,1977,M07,7.0
LNU04000000,1977,M08,6.8
LNU04000000,1977,M09,6.6
LNU04000000,1977,M10,6.4
LNU04000000,1977,M11,6.5
LNU04000000,1977,M12,6.0
LNU04000000,1978,M01,7.1
LNU04000000,1978,M02,6.9
LNU04000000,1978,M03,6.6
LNU04000000,1978,M04,5.8
LNU04000000,1978,M05,5.5
LNU04000000,1978,M06,6.2
LNU04000000,1978,M07,6.3
LNU04000000,1978,M08,5.9
LNU04000000,1978,M09,5.8
LNU04000000,1978,M10,5.4
LNU04000000,1978,M11,5.6
LNU04000000,1978,M12,5.7
LNU04000000,1979,M01,6.4
LNU04000000,1979,M02,6.4
LNU04000000,1979,M03,6.1
LNU04000000,1979,M04,5.5
LNU04000000,1979,M05,5.2
LNU04000000,1979,M06,6.0
LNU04000000,1979,M07,5.9
LNU04000000,1979,M08,5.9
LNU04000000,1979,M09,5.7
LNU04000000,1979,M10,5.6
LNU04000000,1979,M11,5.6
LNU04000000,1979,M12,5.7
LNU04000000,1980,M01,6.9
LNU04000000,1980,M02,6.8
LNU04000000,1980,M03,6.6
LNU04000000,1980,M04,6.7
LNU04000000,1980,M05,7.1
LNU04000000,1980,M06,7.8
LNU04000000,1980,M07,7.9
LNU04000000,1980,M08,7.6
LNU04000000,1980,M09,7.2
LNU04000000,1980,M10,7.1
LNU04000000,1980,M11,7.1
LNU04000000,1980,M12,6.9
LNU04000000,1981,M01,8.2
LNU04000000,1981,M02,8.0
LNU04000000,1981,M03,7.7
LNU04000000,1981,M04,7.0
LNU04000000,1981,M05,7.1
LNU04000000,1981,M06,7.7
LNU04000000,1981,M07,7.3
LNU04000000,1981,M08,7.2
LNU04000000,1981,M09,7.3
