series_id	year	period	value	footnote_codes
LAUST010000000000003          	1976	M01	7.9	          
LAUST010000000000003          	1976	M02	7.7	          
LAUST010000000000003          	1976	M03	6.1	          
LAUST010000000000003          	1976	M04	5.7	          
LAUST010000000000003          	1976	M05	5.2	          
LAUST010000000000003          	1976	M06	7.7	          
LAUST010000000000003          	1976	M07	7.3	          
LAUST010000000000003          	1976	M08	7.3	          
LAUST010000000000003          	1976	M09	6.8	          
LAUST010000000000003          	1976	M10	6.6	          
LAUST010000000000003          	1976	M11	6.8	          
LAUST010000000000003          	1976	M12	6.6	          
LAUST010000000000003          	1976	M13	6.8	          
LAUST010000000000003          	1977	M01	7.5	          
LAUST010000000000003          	1977	M02	9	          
LAUST010000000000003          	1977	M03	7.7	          
LAUST010000000000003          	1977	M04	7.2	          
LAUST010000000000003          	1977	M05	6.8	          
LAUST010000000000003          	1977	M06	8.6	          
LAUST010000000000003          	1977	M07	8	          
LAUST010000000000003          	1977	M08	7.8	          
LAUST010000000000003          	1977	M09	6.7	          
LAUST010000000000003          	1977	M10	6.3	          
LAUST010000000000003          	1977	M11	6.3	          
LAUST010000000000003          	1977	M12	6	          
LAUST010000000000003          	1977	M13	7.3	          
LAUST010000000000003          	1978	M01	7.1	          
LAUST010000000000003          	1978	M02	6.9	          
LAUST010000000000003          	1978	M03	6.2	          
LAUST010000000000003          	1978	M04	5.4	          
LAUST010000000000003          	1978	M05	5.1	          
LAUST010000000000003          	1978	M06	6.9	          
LAUST010000000000003          	1978	M07	6.7	          
LAUST010000000000003          	1978	M08	6.7	          
LAUST010000000000003          	1978	M09	6.5	          
LAUST010000000000003          	1978	M10	6.3	          
LAUST010000000000003          	1978	M11	6.3	          
LAUST010000000000003          	1978	M12	6.5	          
LAUST010000000000003          	1978	M13	6.4	          
LAUST010000000000003          	1979	M01	6.7	          
LAUST010000000000003          	1979	M02	7.5	          
LAUST010000000000003          	1979	M03	6.9	          
LAUST010000000000003          	1979	M04	6.6	          
LAUST010000000000003          	1979	M05	6.4	          
LAUST010000000000003          	1979	M06	8.4	          
LAUST010000000000003          	1979	M07	7.7	          
LAUST010000000000003          	1979	M08	7.8	          
LAUST010000000000003          	1979	M09	7.1	          
